Year,State,PotatoAcres
1993,WISCONSIN,77000
1993,WYOMING,1800
1992,ALABAMA,10800
1992,ARIZONA,6400
1992,CALIFORNIA,43000
1992,COLORADO,73400
1992,DELAWARE,6000
1992,FLORIDA,41200
1992,IDAHO,380000
1992,ILLINOIS,4500
1992,INDIANA,4600
1992,IOWA,1600
1992,MAINE,82000
1992,MARYLAND,1600
1992,MASSACHUSETTS,3000
1992,MICHIGAN,49500
1992,MINNESOTA,78200
1992,MISSOURI,7700
1992,MONTANA,8600
1992,NEBRASKA,10700
1992,NEVADA,7500
1992,NEW JERSEY,3600
1992,NEW MEXICO,8500
1992,NEW YORK,28200
1992,NORTH CAROLINA,19100
1992,NORTH DAKOTA,146000
1992,OHIO,7000
1992,OREGON,46000
1992,PENNSYLVANIA,20000
1992,RHODE ISLAND,1300
1992,SOUTH DAKOTA,6500
1992,TEXAS,13000
1992,UTAH,6100
1992,VIRGINIA,11000
1992,WASHINGTON,132000
1992,WISCONSIN,69000
1992,WYOMING,1700
1991,ALABAMA,11000
1991,ARIZONA,6000
1991,CALIFORNIA,46200
1991,COLORADO,78000
1991,DELAWARE,7700
1991,FLORIDA,43700
1991,IDAHO,395000
1991,ILLINOIS,4500
1991,INDIANA,4500
1991,IOWA,1500
1991,MAINE,81000
1991,MARYLAND,1700
1991,MASSACHUSETTS,3000
1991,MICHIGAN,47000
1991,MINNESOTA,84400
1991,MISSOURI,6700
1991,MONTANA,9400
1991,NEBRASKA,11600
1991,NEVADA,7600
1991,NEW JERSEY,4100
1991,NEW MEXICO,10500
1991,NEW YORK,29600
1991,NORTH CAROLINA,18800
1991,NORTH DAKOTA,158000
1991,OHIO,8000
1991,OREGON,51000
1991,PENNSYLVANIA,21000
1991,RHODE ISLAND,1300
1991,SOUTH DAKOTA,7500
1991,TEXAS,16000
1991,UTAH,6100
1991,VIRGINIA,11000
1991,WASHINGTON,144000
1991,WISCONSIN,68000
1991,WYOMING,2100
1990,ALABAMA,12800
1990,ARIZONA,6900
